Run ID,Run Name,Project Step,Parameter,Value
c9ac78dc28124938bd5b2b46452bbc15,tuning_v3_XGBoost,step_06_cross_validation_hyperparameter_tuning_v3,best_learning_rate,0.05
c9ac78dc28124938bd5b2b46452bbc15,tuning_v3_XGBoost,step_06_cross_validation_hyperparameter_tuning_v3,best_gamma,0
c9ac78dc28124938bd5b2b46452bbc15,tuning_v3_XGBoost,step_06_cross_validation_hyperparameter_tuning_v3,best_colsample_bytree,0.95
1fb4f8bd76a9494f950a3bce10c80956,tuning_v3_CatBoost,step_06_cross_validation_hyperparameter_tuning_v3,step,step_06_cross_validation_hyperparameter_tuning_v3
1fb4f8bd76a9494f950a3bce10c80956,tuning_v3_CatBoost,step_06_cross_validation_hyperparameter_tuning_v3,script,script_01_cv_tuning_models_v3
1fb4f8bd76a9494f950a3bce10c80956,tuning_v3_CatBoost,step_06_cross_validation_hyperparameter_tuning_v3,dataset_version,v3_encoded_unscaled
1fb4f8bd76a9494f950a3bce10c80956,tuning_v3_CatBoost,step_06_cross_validation_hyperparameter_tuning_v3,model_name,CatBoost
1fb4f8bd76a9494f950a3bce10c80956,tuning_v3_CatBoost,step_06_cross_validation_hyperparameter_tuning_v3,cv_folds,5
1fb4f8bd76a9494f950a3bce10c80956,tuning_v3_CatBoost,step_06_cross_validation_hyperparameter_tuning_v3,n_iter,15
1fb4f8bd76a9494f950a3bce10c80956,tuning_v3_CatBoost,step_06_cross_validation_hyperparameter_tuning_v3,refit_metric,f1
1fb4f8bd76a9494f950a3bce10c80956,tuning_v3_CatBoost,step_06_cross_validation_hyperparameter_tuning_v3,tracking_backend,sqlite
1fb4f8bd76a9494f950a3bce10c80956,tuning_v3_CatBoost,step_06_cross_validation_hyperparameter_tuning_v3,train_validation_rows,5634
1fb4f8bd76a9494f950a3bce10c80956,tuning_v3_CatBoost,step_06_cross_validation_hyperparameter_tuning_v3,test_rows,1409
1fb4f8bd76a9494f950a3bce10c80956,tuning_v3_CatBoost,step_06_cross_validation_hyperparameter_tuning_v3,number_of_features,52
1fb4f8bd76a9494f950a3bce10c80956,tuning_v3_CatBoost,step_06_cross_validation_hyperparameter_tuning_v3,scale_pos_weight,2.768561872909699
1fb4f8bd76a9494f950a3bce10c80956,tuning_v3_CatBoost,step_06_cross_validation_hyperparameter_tuning_v3,best_learning_rate,0.01
1fb4f8bd76a9494f950a3bce10c80956,tuning_v3_CatBoost,step_06_cross_validation_hyperparameter_tuning_v3,best_l2_leaf_reg,7
1fb4f8bd76a9494f950a3bce10c80956,tuning_v3_CatBoost,step_06_cross_validation_hyperparameter_tuning_v3,best_iterations,500
1fb4f8bd76a9494f950a3bce10c80956,tuning_v3_CatBoost,step_06_cross_validation_hyperparameter_tuning_v3,best_depth,6
81335fac15ce45f8be07a0b3a568413c,best_tuned_v3_CatBoost_test_evaluation,step_06_cross_validation_hyperparameter_tuning_v3,step,step_06_cross_validation_hyperparameter_tuning_v3
81335fac15ce45f8be07a0b3a568413c,best_tuned_v3_CatBoost_test_evaluation,step_06_cross_validation_hyperparameter_tuning_v3,script,script_01_cv_tuning_models_v3
81335fac15ce45f8be07a0b3a568413c,best_tuned_v3_CatBoost_test_evaluation,step_06_cross_validation_hyperparameter_tuning_v3,dataset_version,v3_encoded_unscaled
81335fac15ce45f8be07a0b3a568413c,best_tuned_v3_CatBoost_test_evaluation,step_06_cross_validation_hyperparameter_tuning_v3,best_tuned_model,CatBoost
